age,income,score,gender,department
47,43355.1,82.95,Female,Sales
32,55743.7,75.11,Male,Sales
35,55915.46,94.56,Male,Engineering
38,37568.78,68.47,Female,Sales
29,56863.35,66.58,Female,Finance
35,46305.28,86.98,Female,HR
35,66267.21,76.13,Female,HR
23,53568.44,75.84,Male,Engineering
42,69177.3,91.3,Male,Sales
39,47418.73,74.82,Male,Engineering
31,49120.16,91.67,Female,Engineering
34,54998.08,84.32,Male,Engineering
39,62559.48,74.87,Male,Engineering
33,57658.82,66.79,Male,Engineering
33,39664.76,72.35,Male,HR
25,53829.01,94.05,Male,Sales
39,52222.45,77.16,Male,Sales
36,47709.31,69.8,Male,Engineering
37,45518.95,73.94,Male,Engineering
24,69475.77,91.99,Female,Engineering
47,48096.14,69.95,Male,Engineering
36,43540.77,88.34,Female,Engineering
32,58371.13,69.05,Female,Finance
49,53306.23,93.84,Male,Finance
35,51241.86,80.91,Male,Engineering
25,59813.02,66.3,Female,Engineering
32,56886.25,92.93,Male,Finance
19,55621.9,75.75,Female,Sales
42,61642.0,86.94,Female,Engineering
32,54836.36,80.71,Male,Sales
30,45830.78,67.78,Female,Engineering
43,48377.18,68.18,Female,Sales
23,46790.28,69.48,Male,HR
39,54097.22,69.84,Female,Sales
21,41220.15,66.58,Male,HR
30,33675.74,66.41,Female,Engineering
27,52881.55,93.45,Male,Sales
45,38634.79,67.74,Female,Finance
47,32480.22,80.25,Female,Engineering
33,55733.31,68.56,Male,Sales
41,44889.47,71.44,Male,Sales
34,56961.25,87.89,Female,Engineering
39,46691.46,93.14,Female,Finance
30,40780.38,79.09,Male,Sales
23,39564.82,65.17,Male,Sales
22,46850.73,94.98,Male,Finance
38,49266.17,66.43,Female,Engineering
51,43765.4,76.68,Male,Finance
37,49188.92,81.17,Female,Engineering
31,36638.98,91.75,Female,Engineering
48,52144.89,89.69,Male,Sales
37,34063.51,83.28,Male,Sales
36,50061.44,76.96,Female,Engineering
37,58972.94,90.03,Female,Engineering
34,62919.39,91.07,Female,Engineering
33,69143.8,91.16,Female,Finance
25,36437.12,86.53,Male,Finance
39,59587.25,67.93,Male,Sales
34,64062.82,73.96,Male,Finance
43,61805.57,79.58,Female,Finance
32,42706.76,80.15,Female,Engineering
22,56117.97,89.99,Male,Engineering
34,70600.56,72.14,Female,Sales
47,37027.26,84.94,Female,Engineering
32,56763.38,76.23,Female,Engineering
29,63122.9,88.26,Female,Finance
27,45034.09,70.87,Female,Finance
28,57829.7,79.3,Female,Sales
33,41291.07,68.11,Male,Sales
27,43877.91,71.36,Female,Sales
45,43829.2,93.06,Male,Finance
33,53923.08,74.48,Male,Sales
36,51090.19,91.79,Male,Sales
45,61541.15,80.73,Female,Engineering
46,42597.21,66.17,Female,Engineering
34,50687.24,88.79,Male,Sales
37,61610.76,66.56,Male,Engineering
40,57607.77,89.81,Female,Engineering
34,38753.59,65.26,Female,Engineering
23,58652.04,85.22,Male,HR
40,47215.82,69.97,Male,Engineering
41,55853.87,75.29,Male,Finance
38,55006.8,93.58,Male,HR
29,64193.19,79.59,Female,Sales
34,53165.6,84.72,Male,Finance
31,33461.94,87.22,Female,Engineering
33,38301.4,68.3,Female,Engineering
44,59311.54,90.16,Female,Finance
46,49416.84,92.42,Male,Finance
40,63379.79,69.66,Male,Engineering
39,54734.39,81.39,Male,HR
40,44509.34,73.51,Female,Engineering
35,62824.07,87.22,Male,Engineering
34,43926.02,65.85,Male,Engineering
30,31473.64,80.38,Male,Engineering
35,72637.96,88.78,Male,Engineering
51,32892.51,87.04,Female,Finance
41,58364.13,68.25,Female,Sales
33,61388.52,89.99,Male,Engineering
32,53470.66,72.14,Female,Engineering
